Contract_ID,Train_ID,Advertiser,Date,Required_Hours,Actual_Service_Hours,Shortfall_Hours,Penalty_Incurred,Compliance_Percentage,Contract_Value,Priority,Revenue_Impact,Day_Of_Week,Month,Notes
BRD-001,CR111,Lulu Mall,2024-01-01,15.5,16.1,0.0,0.0,100.0,750000,Low,0.0,Monday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-02,15.5,15.7,0.0,0.0,100.0,750000,Low,0.0,Tuesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-03,15.5,15.6,0.0,0.0,100.0,750000,Low,0.0,Wednesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-04,15.5,16.2,0.0,0.0,100.0,750000,Low,0.0,Thursday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-05,15.5,17.0,0.0,0.0,100.0,750000,Low,0.0,Friday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-06,15.5,14.4,1.1,2864.0,92.6,750000,Medium,2864.0,Saturday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-07,15.5,13.3,2.2,5563.0,85.6,750000,Critical,5563.0,Sunday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-08,15.5,14.6,0.9,2198.0,94.3,750000,Medium,2198.0,Monday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-09,15.5,17.3,0.0,0.0,100.0,750000,Low,0.0,Tuesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-10,15.5,16.0,0.0,0.0,100.0,750000,Low,0.0,Wednesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-11,15.5,16.5,0.0,0.0,100.0,750000,Low,0.0,Thursday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-12,15.5,15.5,0.0,0.0,100.0,750000,Low,0.0,Friday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-13,15.5,13.9,1.6,4120.0,89.4,750000,Critical,4120.0,Saturday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-14,15.5,11.7,3.8,9585.0,75.3,750000,Critical,9585.0,Sunday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-15,15.5,14.4,1.1,2765.0,92.9,750000,Medium,2765.0,Monday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-16,15.5,14.5,1.0,2491.0,93.6,750000,Medium,2491.0,Tuesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-17,15.5,15.2,0.3,681.0,98.2,750000,Low,681.0,Wednesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-18,15.5,15.2,0.3,744.0,98.1,750000,Low,744.0,Thursday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-19,15.5,15.3,0.2,547.0,98.6,750000,Low,547.0,Friday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-20,15.5,14.0,1.5,3832.0,90.1,750000,Medium,3832.0,Saturday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-21,15.5,11.7,3.8,9602.0,75.2,750000,Critical,9602.0,Sunday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-22,15.5,16.0,0.0,0.0,100.0,750000,Low,0.0,Monday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-23,15.5,14.9,0.6,1530.0,96.1,750000,Low,1530.0,Tuesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-24,15.5,16.3,0.0,0.0,100.0,750000,Low,0.0,Wednesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-25,15.5,15.5,0.0,120.0,99.7,750000,Low,120.0,Thursday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-26,15.5,15.5,0.0,50.0,99.9,750000,Low,50.0,Friday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-27,15.5,14.3,1.2,2976.0,92.3,750000,Medium,2976.0,Saturday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-28,15.5,13.0,2.5,6221.0,83.9,750000,Critical,6221.0,Sunday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-29,15.5,15.6,0.0,0.0,100.0,750000,Low,0.0,Monday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-30,15.5,15.2,0.3,654.0,98.3,750000,Low,654.0,Tuesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-01-31,15.5,15.3,0.2,573.0,98.5,750000,Low,573.0,Wednesday,January,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-01,15.5,15.9,0.0,0.0,100.0,750000,Low,0.0,Thursday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-02,15.5,14.9,0.6,1460.0,96.2,750000,Low,1460.0,Friday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-03,15.5,12.7,2.8,6911.0,82.2,750000,Critical,6911.0,Saturday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-04,15.5,11.7,3.8,9528.0,75.4,750000,Critical,9528.0,Sunday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-05,15.5,16.0,0.0,0.0,100.0,750000,Low,0.0,Monday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-06,15.5,17.1,0.0,0.0,100.0,750000,Low,0.0,Tuesday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-07,15.5,16.6,0.0,0.0,100.0,750000,Low,0.0,Wednesday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-08,15.5,15.3,0.2,445.0,98.9,750000,Low,445.0,Thursday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-09,15.5,16.7,0.0,0.0,100.0,750000,Low,0.0,Friday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-10,15.5,13.3,2.2,5385.0,86.1,750000,Critical,5385.0,Saturday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-11,15.5,13.2,2.3,5689.0,85.3,750000,Critical,5689.0,Sunday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-12,15.5,16.3,0.0,0.0,100.0,750000,Low,0.0,Monday,February,Daily tracking for Lulu Mall contract
BRD-001,CR111,Lulu Mall,2024-02-13,15.5,14.4,1.1,2836.0,92.7,750000,Medium,2836.0,Tuesday,February,Daily tracking for Lulu Mall contract
