Train_ID,Date,Cleaning_Type,Duration_Minutes,Cost,Staff_Assigned,Priority,Completion_Status,Quality_Score,Location,Shift,Notes
CR101,2024-01-01,HVAC_Filter,79,1931,4,Low,Completed,96.01172091440552,Terminal_Station,Evening,HVAC Filter performed on CR101
CR101,2024-01-01,Window_Polish,39,965,6,High,In_Progress,89.46676223649251,Depot_A,Morning,Window Polish performed on CR101
CR101,2024-01-02,Interior_Deep_Clean,136,1028,2,Low,Completed,90.82764202399119,Depot_A,Evening,Interior Deep Clean performed on CR101
CR101,2024-01-02,Seat_Sanitization,104,1596,4,Medium,Scheduled,95.01980672639768,Terminal_Station,Morning,Seat Sanitization performed on CR101
CR101,2024-01-02,Floor_Deep_Clean,82,978,3,Low,In_Progress,90.59457956750282,Depot_B,Evening,Floor Deep Clean performed on CR101
CR101,2024-01-03,HVAC_Filter,87,890,2,Medium,Scheduled,87.4082613941403,Terminal_Station,Evening,HVAC Filter performed on CR101
CR101,2024-01-03,Floor_Deep_Clean,108,1472,5,High,Completed,89.42547939166228,Depot_B,Morning,Floor Deep Clean performed on CR101
CR101,2024-01-05,Graffiti_Removal,120,698,4,Medium,Scheduled,92.51029710939531,Terminal_Station,Evening,Graffiti Removal performed on CR101
CR101,2024-01-05,Floor_Deep_Clean,62,838,2,Low,In_Progress,95.10898245991594,Depot_A,Morning,Floor Deep Clean performed on CR101
CR101,2024-01-05,Interior_Deep_Clean,127,804,2,Medium,Completed,93.96265872671201,Depot_A,Evening,Interior Deep Clean performed on CR101
CR101,2024-01-06,HVAC_Filter,83,867,5,High,In_Progress,90.95066826405369,Terminal_Station,Evening,HVAC Filter performed on CR101
CR101,2024-01-06,Exterior_Wash,54,1260,2,Medium,In_Progress,93.75455565734421,Depot_B,Evening,Exterior Wash performed on CR101
CR101,2024-01-07,Seat_Sanitization,109,1856,3,High,In_Progress,90.60012353699761,Depot_B,Morning,Seat Sanitization performed on CR101
CR101,2024-01-08,Seat_Sanitization,98,1296,2,Low,Completed,91.22327884223773,Depot_B,Evening,Seat Sanitization performed on CR101
CR101,2024-01-09,Graffiti_Removal,33,618,3,Low,In_Progress,95.11147617125687,Depot_B,Evening,Graffiti Removal performed on CR101
CR101,2024-01-11,Window_Polish,38,1272,4,Medium,In_Progress,86.47669364263012,Depot_B,Morning,Window Polish performed on CR101
CR101,2024-01-11,Seat_Sanitization,98,1403,4,Low,Scheduled,88.43355524818162,Depot_B,Night,Seat Sanitization performed on CR101
CR101,2024-01-12,Interior_Deep_Clean,127,1404,5,Medium,Completed,86.81049921726583,Depot_B,Morning,Interior Deep Clean performed on CR101
CR101,2024-01-14,LED_Light_Clean,50,882,6,Low,Scheduled,89.84792013541487,Depot_A,Night,LED Light Clean performed on CR101
CR101,2024-01-15,LED_Light_Clean,55,1672,6,Medium,Completed,87.95600543991796,Depot_A,Evening,LED Light Clean performed on CR101
CR101,2024-01-15,Exterior_Wash,67,1149,6,Medium,Completed,95.61194874807899,Depot_B,Night,Exterior Wash performed on CR101
CR101,2024-01-16,Floor_Deep_Clean,97,554,6,Medium,In_Progress,91.40918468616194,Depot_A,Night,Floor Deep Clean performed on CR101
CR101,2024-01-16,LED_Light_Clean,49,684,6,Low,In_Progress,95.43463808996842,Depot_B,Morning,LED Light Clean performed on CR101
CR101,2024-01-17,Window_Polish,49,1136,3,Medium,Scheduled,85.03014155339467,Depot_A,Night,Window Polish performed on CR101
CR101,2024-01-17,HVAC_Filter,69,792,5,Low,In_Progress,88.99566390968107,Depot_A,Evening,HVAC Filter performed on CR101
CR101,2024-01-17,Floor_Deep_Clean,104,1774,2,High,Scheduled,86.22287113315288,Depot_B,Morning,Floor Deep Clean performed on CR101
CR101,2024-01-18,Floor_Deep_Clean,75,1105,6,Medium,In_Progress,94.84853714554455,Terminal_Station,Morning,Floor Deep Clean performed on CR101
CR101,2024-01-18,Exterior_Wash,64,906,6,Low,Scheduled,87.43064405368979,Depot_B,Night,Exterior Wash performed on CR101
CR101,2024-01-18,Interior_Deep_Clean,175,1111,3,High,Completed,87.76203631860008,Terminal_Station,Evening,Interior Deep Clean performed on CR101
CR101,2024-01-19,HVAC_Filter,87,1825,6,High,Scheduled,95.12007240215048,Terminal_Station,Evening,HVAC Filter performed on CR101
