Certificate_ID,Train_ID,Department,Issue_Date,Expiry_Date,Validity_Days,Status,Inspector,Priority,Inspection_Type,Cycle_Number,Compliance_Score,Notes
CERT-ROL-CR101-000-118178,CR101,Rolling_Stock,2024-01-02,2025-01-01,365,Expired,Rolling_Stock_Inspector_3,Critical,Annual_Comprehensive,0,64.93545429730877,Cycle 0 certificate for rolling_stock systems
CERT-ROL-CR101-001-c52033,CR101,Rolling_Stock,2025-01-04,2026-01-04,365,Valid,Rolling_Stock_Inspector_15,Low,Annual_Comprehensive,1,85.74871034380219,Cycle 1 certificate for rolling_stock systems
CERT-ROL-CR101-002-2761d4,CR101,Rolling_Stock,,2026-12-25,365,Valid,Rolling_Stock_Inspector_4,Low,Annual_Comprehensive,2,94.25522514102448,Cycle 2 certificate for rolling_stock systems
CERT-SIG-CR101-001-d85865,CR101,Signalling,2024-06-27,2024-12-24,180,Expired,Signalling_Inspector_10,Critical,Semi_Annual_Systems,1,77.54870008887885,Cycle 1 certificate for signalling systems
CERT-SIG-CR101-002-c26305,CR101,Signalling,2025-01-03,2025-07-02,180,Valid,Signalling_Inspector_2,Low,Semi_Annual_Systems,2,87.78945529988579,Cycle 2 certificate for signalling systems
CERT-SIG-CR101-003-cf42b0,CR101,Signalling,,2025-12-16,180,Valid,Signalling_Inspector_6,Low,Semi_Annual_Systems,3,89.12180912574695,Cycle 3 certificate for signalling systems
CERT-TEL-CR101-004-47e748,CR101,Telecom,2024-12-17,2025-03-17,90,Valid,Telecom_Inspector_2,Low,Quarterly_Network,4,91.0222166772801,Cycle 4 certificate for telecom systems
CERT-TEL-CR101-005-a0ade5,CR101,Telecom,,2025-06-14,90,Valid,Telecom_Inspector_15,Low,Quarterly_Network,5,98.83234253661983,Cycle 5 certificate for telecom systems
CERT-POW-CR101-001-2205f0,CR101,Power_Supply,2024-09-26,2025-06-23,270,Valid,Power_Supply_Inspector_7,Low,Triannual_Power,1,97.89095542679027,Cycle 1 certificate for power_supply systems
CERT-POW-CR101-002-d5d08e,CR101,Power_Supply,,2026-03-30,270,Valid,Power_Supply_Inspector_1,Low,Triannual_Power,2,87.77114141830428,Cycle 2 certificate for power_supply systems
CERT-TRA-CR101-003-bb1aeb,CR101,Track_Maintenance,2024-12-30,2025-04-29,120,Valid,Track_Maintenance_Inspector_1,Low,Quarterly_Track,3,94.77814158227505,Cycle 3 certificate for track_maintenance systems
CERT-TRA-CR101-004-cc860c,CR101,Track_Maintenance,,2025-08-25,120,Valid,Track_Maintenance_Inspector_8,Low,Quarterly_Track,4,93.57377361440629,Cycle 4 certificate for track_maintenance systems
CERT-ROL-CR102-000-fd8efa,CR102,Rolling_Stock,2024-01-03,2025-01-02,365,Expired,Rolling_Stock_Inspector_3,Critical,Annual_Comprehensive,0,73.08228188046948,Cycle 0 certificate for rolling_stock systems
CERT-ROL-CR102-001-0aa3d6,CR102,Rolling_Stock,2025-01-06,2026-01-06,365,Valid,Rolling_Stock_Inspector_8,Low,Annual_Comprehensive,1,90.24704623038147,Cycle 1 certificate for rolling_stock systems
CERT-ROL-CR102-002-afab16,CR102,Rolling_Stock,,2026-12-30,365,Pending,Rolling_Stock_Inspector_6,Critical,Annual_Comprehensive,2,79.32255323578589,Cycle 2 certificate for rolling_stock systems
CERT-SIG-CR102-001-2c6cc4,CR102,Signalling,2024-07-07,2025-01-03,180,Expired,Signalling_Inspector_12,Critical,Semi_Annual_Systems,1,78.4277041407999,Cycle 1 certificate for signalling systems
CERT-SIG-CR102-002-d55cf8,CR102,Signalling,2025-01-05,2025-07-04,180,Valid,Signalling_Inspector_10,Low,Semi_Annual_Systems,2,88.36461992388992,Cycle 2 certificate for signalling systems
CERT-SIG-CR102-003-6a6cee,CR102,Signalling,,2025-12-15,180,Valid,Signalling_Inspector_13,Low,Semi_Annual_Systems,3,97.97754301917806,Cycle 3 certificate for signalling systems
CERT-TEL-CR102-004-b40bf1,CR102,Telecom,2024-12-28,2025-03-28,90,Valid,Telecom_Inspector_1,Low,Quarterly_Network,4,90.98337180478879,Cycle 4 certificate for telecom systems
CERT-TEL-CR102-005-00a160,CR102,Telecom,,2025-07-03,90,Valid,Telecom_Inspector_12,Low,Quarterly_Network,5,88.59660691188355,Cycle 5 certificate for telecom systems
CERT-POW-CR102-001-e10271,CR102,Power_Supply,2024-09-25,2025-06-22,270,Valid,Power_Supply_Inspector_12,Low,Triannual_Power,1,96.17675346581633,Cycle 1 certificate for power_supply systems
CERT-POW-CR102-002-443fd2,CR102,Power_Supply,,2026-03-26,270,Valid,Power_Supply_Inspector_14,Low,Triannual_Power,2,85.16927449728279,Cycle 2 certificate for power_supply systems
CERT-TRA-CR102-002-2ba615,CR102,Track_Maintenance,2024-08-29,2024-12-27,120,Expired,Track_Maintenance_Inspector_4,Critical,Quarterly_Track,2,75.73959630887761,Cycle 2 certificate for track_maintenance systems
CERT-TRA-CR102-003-dc1d48,CR102,Track_Maintenance,2024-12-16,2025-04-15,120,Valid,Track_Maintenance_Inspector_7,Low,Quarterly_Track,3,95.65290772871653,Cycle 3 certificate for track_maintenance systems
CERT-TRA-CR102-004-b0b502,CR102,Track_Maintenance,,2025-08-25,120,Valid,Track_Maintenance_Inspector_9,Low,Quarterly_Track,4,89.06458728554797,Cycle 4 certificate for track_maintenance systems
CERT-ROL-CR103-000-127d4c,CR103,Rolling_Stock,2023-12-27,2024-12-26,365,Expired,Rolling_Stock_Inspector_4,Critical,Annual_Comprehensive,0,80.54390887104196,Cycle 0 certificate for rolling_stock systems
CERT-ROL-CR103-001-7cc613,CR103,Rolling_Stock,2025-01-10,2026-01-10,365,Valid,Rolling_Stock_Inspector_13,Low,Annual_Comprehensive,1,97.92539714849063,Cycle 1 certificate for rolling_stock systems
CERT-ROL-CR103-002-559fc8,CR103,Rolling_Stock,,2027-01-04,365,Valid,Rolling_Stock_Inspector_11,Low,Annual_Comprehensive,2,98.09153779812705,Cycle 2 certificate for rolling_stock systems
CERT-SIG-CR103-001-2a1aad,CR103,Signalling,2024-06-24,2024-12-21,180,Expired,Signalling_Inspector_11,Critical,Semi_Annual_Systems,1,70.57884001438902,Cycle 1 certificate for signalling systems
CERT-SIG-CR103-002-36a3b0,CR103,Signalling,2025-01-02,2025-07-01,180,Valid,Signalling_Inspector_8,Low,Semi_Annual_Systems,2,96.89836076941155,Cycle 2 certificate for signalling systems
CERT-SIG-CR103-003-dcc07a,CR103,Signalling,,2025-12-17,180,Valid,Signalling_Inspector_10,Low,Semi_Annual_Systems,3,89.78979704371089,Cycle 3 certificate for signalling systems
CERT-TEL-CR103-003-288e99,CR103,Telecom,2024-09-26,2024-12-25,90,Expired,Telecom_Inspector_14,Critical,Quarterly_Network,3,71.20264246994228,Cycle 3 certificate for telecom systems
CERT-TEL-CR103-004-6582c4,CR103,Telecom,2024-12-16,2025-03-16,90,Valid,Telecom_Inspector_15,Low,Quarterly_Network,4,96.59080037410702,Cycle 4 certificate for telecom systems
CERT-TEL-CR103-005-2de56f,CR103,Telecom,,2025-06-24,90,Valid,Telecom_Inspector_6,Low,Quarterly_Network,5,98.32047651135517,Cycle 5 certificate for telecom systems
CERT-POW-CR103-001-2c8ad3,CR103,Power_Supply,2024-10-04,2025-07-01,270,Valid,Power_Supply_Inspector_13,Low,Triannual_Power,1,94.21243372299583,Cycle 1 certificate for power_supply systems
CERT-POW-CR103-002-4a7333,CR103,Power_Supply,,2026-03-20,270,Valid,Power_Supply_Inspector_9,Low,Triannual_Power,2,96.2757160351959,Cycle 2 certificate for power_supply systems
CERT-TRA-CR103-002-5e723f,CR103,Track_Maintenance,2024-09-07,2025-01-05,120,Expired,Track_Maintenance_Inspector_8,Critical,Quarterly_Track,2,64.03797190433897,Cycle 2 certificate for track_maintenance systems
CERT-TRA-CR103-003-3f828a,CR103,Track_Maintenance,2024-12-27,2025-04-26,120,Valid,Track_Maintenance_Inspector_1,Low,Quarterly_Track,3,90.44238208223486,Cycle 3 certificate for track_maintenance systems
CERT-TRA-CR103-004-5ddebb,CR103,Track_Maintenance,,2025-08-15,120,Valid,Track_Maintenance_Inspector_14,Low,Quarterly_Track,4,89.74314566212186,Cycle 4 certificate for track_maintenance systems
CERT-ROL-CR104-000-e18f92,CR104,Rolling_Stock,2024-01-06,2025-01-05,365,Expired,Rolling_Stock_Inspector_1,Critical,Annual_Comprehensive,0,73.70915756091568,Cycle 0 certificate for rolling_stock systems
