Work_Order_ID,Job_Number,Train_ID,Work_Type,Description,Priority,Status,Created_Date,Due_Date,Estimated_Hours,Actual_Hours,Assigned_Technician,Department,Cost_Estimate,Parts_Cost,Urgency_Score,Completion_Rate,Notes
WO-E5BCB8EA,JOB-20240101-1439,CR115,Inspection-A,Inspection A for CR115,Low,Closed,2024-01-01,2024-02-03,5,5.2,Tech_27,Maintenance,475,805,50,100.0,Generated on 2024-01-01 - Inspection-A maintenance
WO-A74A27F6,JOB-20240101-3524,CR101,CM-Software,CM Software for CR101,Critical,Closed,2024-01-01,2024-01-03,11,11.4,Tech_4,IT,1782,2341,100,100.0,Generated on 2024-01-01 - CM-Software maintenance
WO-3C58520C,JOB-20240102-4960,CR118,CM-Software,CM Software for CR118,Medium,On_Hold,2024-01-02,2024-01-11,3,,Tech_4,IT,564,2586,70,22.916518358976372,Generated on 2024-01-02 - CM-Software maintenance
WO-C4DFC245,JOB-20240102-8430,CR115,PM-Doors,PM Doors for CR115,Medium,Closed,2024-01-02,2024-01-10,4,4.4,Tech_2,Mechanical,344,653,70,100.0,Generated on 2024-01-02 - PM-Doors maintenance
WO-29CB4159,JOB-20240102-2731,CR107,CM-Mechanical,CM Mechanical for CR107,High,Closed,2024-01-02,2024-01-05,7,6.1,Tech_22,Mechanical,966,4440,90,100.0,Generated on 2024-01-02 - CM-Mechanical maintenance
WO-8BA6FF57,JOB-20240103-2112,CR102,CM-Electrical,Power supply issue resolution - CR102,Low,On_Hold,2024-01-03,2024-02-15,4,,Tech_6,Electrical,424,2503,50,26.271311678469253,Generated on 2024-01-03 - CM-Electrical maintenance
WO-A6F13EDC,JOB-20240103-3031,CR122,PM-Traction,PM Traction for CR122,Low,Cancelled,2024-01-03,2024-01-22,15,,Tech_5,Electrical,2580,912,50,0.0,Generated on 2024-01-03 - PM-Traction maintenance
WO-DA921580,JOB-20240104-1922,CR108,Inspection-B,Inspection B for CR108,High,Closed,2024-01-04,2024-01-09,18,23.0,Tech_24,Maintenance,1854,539,90,100.0,Generated on 2024-01-04 - Inspection-B maintenance
WO-38993C04,JOB-20240104-8542,CR101,CM-Mechanical,CM Mechanical for CR101,Medium,Closed,2024-01-04,2024-01-12,11,13.1,Tech_29,Mechanical,2079,4074,70,100.0,Generated on 2024-01-04 - CM-Mechanical maintenance
WO-8AA44D8E,JOB-20240104-4808,CR117,Inspection-C,Inspection C for CR117,Low,Cancelled,2024-01-04,2024-02-05,23,,Tech_2,Maintenance,3588,732,50,0.0,Generated on 2024-01-04 - Inspection-C maintenance
WO-8DBA2D93,JOB-20240104-7326,CR109,PM-Brake,Brake system preventive maintenance - CR109,Low,Closed,2024-01-04,2024-01-20,3,3.1,Tech_14,Mechanical,411,870,50,100.0,Generated on 2024-01-04 - PM-Brake maintenance
WO-5587527E,JOB-20240104-2723,CR107,PM-HVAC,PM HVAC for CR107,Low,Cancelled,2024-01-04,2024-01-21,6,,Tech_23,Electrical,930,239,50,0.0,Generated on 2024-01-04 - PM-HVAC maintenance
WO-006E5F40,JOB-20240105-5869,CR115,PM-HVAC,PM HVAC for CR115,Critical,Closed,2024-01-05,2024-01-06,9,11.1,Tech_9,Electrical,1683,214,100,100.0,Generated on 2024-01-05 - PM-HVAC maintenance
WO-0C0B5103,JOB-20240105-6422,CR107,Inspection-B,Inspection B for CR107,Critical,Closed,2024-01-05,2024-01-07,28,31.8,Tech_5,Maintenance,5488,969,100,100.0,Generated on 2024-01-05 - Inspection-B maintenance
WO-9479C5BF,JOB-20240106-5910,CR107,CM-Software,CM Software for CR107,Low,On_Hold,2024-01-06,2024-02-19,5,,Tech_26,IT,480,1360,50,16.1734899851044,Generated on 2024-01-06 - CM-Software maintenance
WO-71418154,JOB-20240106-3769,CR121,PM-Brake,Brake system preventive maintenance - CR121,Low,Cancelled,2024-01-06,2024-01-21,3,,Tech_21,Mechanical,582,402,50,0.0,Generated on 2024-01-06 - PM-Brake maintenance
WO-2B88586A,JOB-20240106-1107,CR108,PM-Brake,Brake pad inspection and replacement - CR108,Low,Closed,2024-01-06,2024-01-26,5,5.5,Tech_24,Mechanical,985,274,50,100.0,Generated on 2024-01-06 - PM-Brake maintenance
WO-2FF5A768,JOB-20240107-6899,CR112,Compliance-Check,Compliance Check for CR112,Critical,Closed,2024-01-07,2024-01-09,7,8.7,Tech_29,Quality_Assurance,1309,809,100,100.0,Generated on 2024-01-07 - Compliance-Check maintenance
WO-388B7CF9,JOB-20240107-7817,CR110,Inspection-A,Inspection A for CR110,High,Closed,2024-01-07,2024-01-14,8,8.4,Tech_5,Maintenance,864,182,90,100.0,Generated on 2024-01-07 - Inspection-A maintenance
WO-3CF08C13,JOB-20240107-7669,CR124,CM-Mechanical,CM Mechanical for CR124,Critical,Closed,2024-01-07,2024-01-08,24,30.4,Tech_4,Mechanical,3600,1824,100,100.0,Generated on 2024-01-07 - CM-Mechanical maintenance
WO-06FCF659,JOB-20240108-1428,CR124,CM-Electrical,Electrical system corrective maintenance - CR124,High,Closed,2024-01-08,2024-01-13,28,22.8,Tech_9,Electrical,3864,3379,90,100.0,Generated on 2024-01-08 - CM-Electrical maintenance
WO-7217F15C,JOB-20240108-5946,CR109,PM-Bogie,Bogie bearing inspection and lubrication - CR109,Low,On_Hold,2024-01-08,2024-01-23,7,,Tech_27,Mechanical,602,691,50,22.689455064244623,Generated on 2024-01-08 - PM-Bogie maintenance
WO-B4CA7D26,JOB-20240108-4539,CR108,CM-Electrical,Power supply issue resolution - CR108,Low,Cancelled,2024-01-08,2024-02-15,11,,Tech_14,Electrical,2167,2585,50,0.0,Generated on 2024-01-08 - CM-Electrical maintenance
WO-69BA8759,JOB-20240108-6508,CR106,CM-Software,CM Software for CR106,Medium,Closed,2024-01-08,2024-01-19,4,4.8,Tech_16,IT,340,2926,70,100.0,Generated on 2024-01-08 - CM-Software maintenance
WO-1CBF996A,JOB-20240109-3722,CR124,PM-Traction,PM Traction for CR124,Medium,On_Hold,2024-01-09,2024-01-26,10,,Tech_29,Electrical,1140,222,70,13.363074422534272,Generated on 2024-01-09 - PM-Traction maintenance
WO-85E073F4,JOB-20240109-3385,CR123,CM-Electrical,Electrical system corrective maintenance - CR123,Low,Closed,2024-01-09,2024-02-04,6,6.5,Tech_10,Electrical,684,881,50,100.0,Generated on 2024-01-09 - CM-Electrical maintenance
WO-3A0BC6D2,JOB-20240110-1532,CR112,Compliance-Check,Compliance Check for CR112,Low,On_Hold,2024-01-10,2024-02-24,3,,Tech_17,Quality_Assurance,561,365,50,28.79888218066035,Generated on 2024-01-10 - Compliance-Check maintenance
WO-5863C0A6,JOB-20240110-5836,CR105,Seasonal-Maintenance,Seasonal Maintenance for CR105,Medium,Closed,2024-01-10,2024-01-21,29,34.4,Tech_1,Maintenance,4698,523,70,100.0,Generated on 2024-01-10 - Seasonal-Maintenance maintenance
WO-95BD056F,JOB-20240110-5170,CR102,PM-Doors,PM Doors for CR102,High,Closed,2024-01-10,2024-01-16,4,4.7,Tech_8,Mechanical,792,139,90,100.0,Generated on 2024-01-10 - PM-Doors maintenance
WO-F81FBA05,JOB-20240110-7502,CR105,Inspection-C,Inspection C for CR105,Low,Cancelled,2024-01-10,2024-01-24,23,,Tech_3,Maintenance,4393,451,50,0.0,Generated on 2024-01-10 - Inspection-C maintenance
WO-2F77214B,JOB-20240110-4187,CR121,CM-Mechanical,CM Mechanical for CR121,Medium,Closed,2024-01-10,2024-01-20,17,17.2,Tech_13,Mechanical,3332,2882,70,100.0,Generated on 2024-01-10 - CM-Mechanical maintenance
WO-3820096D,JOB-20240110-4187,CR124,PM-Doors,PM Doors for CR124,Medium,Closed,2024-01-10,2024-01-29,4,5.0,Tech_30,Mechanical,740,682,70,100.0,Generated on 2024-01-10 - PM-Doors maintenance
WO-D1AF5A7A,JOB-20240111-3728,CR112,PM-HVAC,PM HVAC for CR112,Low,Closed,2024-01-11,2024-02-24,5,6.5,Tech_25,Electrical,720,771,50,100.0,Generated on 2024-01-11 - PM-HVAC maintenance
WO-2DEC972C,JOB-20240111-5228,CR112,Inspection-A,Inspection A for CR112,Low,Cancelled,2024-01-11,2024-01-28,7,,Tech_9,Maintenance,819,507,50,0.0,Generated on 2024-01-11 - Inspection-A maintenance
WO-353CE3B9,JOB-20240111-1397,CR108,CM-Mechanical,CM Mechanical for CR108,Low,On_Hold,2024-01-11,2024-02-20,6,,Tech_9,Mechanical,492,1266,50,11.203000612087674,Generated on 2024-01-11 - CM-Mechanical maintenance
WO-D1074F74,JOB-20240112-6736,CR107,Compliance-Check,Compliance Check for CR107,Low,On_Hold,2024-01-12,2024-02-10,2,,Tech_17,Quality_Assurance,222,375,50,15.746482762952922,Generated on 2024-01-12 - Compliance-Check maintenance
WO-D9F93E3D,JOB-20240112-4776,CR101,Inspection-A,Inspection A for CR101,Medium,Closed,2024-01-12,2024-02-01,8,8.8,Tech_30,Maintenance,1456,173,70,100.0,Generated on 2024-01-12 - Inspection-A maintenance
WO-9B8136DB,JOB-20240112-7084,CR108,PM-Traction,PM Traction for CR108,Medium,On_Hold,2024-01-12,2024-01-20,11,,Tech_4,Electrical,2079,346,70,28.081875857922387,Generated on 2024-01-12 - PM-Traction maintenance
WO-909135FB,JOB-20240112-1448,CR120,Inspection-B,Inspection B for CR120,Medium,On_Hold,2024-01-12,2024-01-28,19,,Tech_23,Maintenance,2204,746,70,23.12546564622983,Generated on 2024-01-12 - Inspection-B maintenance
WO-B8CED8FA,JOB-20240112-4025,CR116,PM-Brake,Brake system preventive maintenance - CR116,Medium,On_Hold,2024-01-12,2024-02-01,4,,Tech_3,Mechanical,624,857,70,15.03519152877534,Generated on 2024-01-12 - PM-Brake maintenance
WO-60900E76,JOB-20240113-3166,CR104,CM-Mechanical,CM Mechanical for CR104,Medium,On_Hold,2024-01-13,2024-01-21,10,,Tech_21,Mechanical,940,4077,70,17.990471258192212,Generated on 2024-01-13 - CM-Mechanical maintenance
WO-DE1E380E,JOB-20240113-5906,CR108,CM-Electrical,Power supply issue resolution - CR108,Medium,Closed,2024-01-13,2024-01-25,14,17.5,Tech_28,Electrical,1260,4621,70,100.0,Generated on 2024-01-13 - CM-Electrical maintenance
WO-BB8AA156,JOB-20240114-8433,CR118,Compliance-Check,Compliance Check for CR118,Low,On_Hold,2024-01-14,2024-02-03,3,,Tech_8,Quality_Assurance,504,959,50,27.33637197808322,Generated on 2024-01-14 - Compliance-Check maintenance
WO-4E5301CD,JOB-20240114-4536,CR112,CM-Electrical,Power supply issue resolution - CR112,Critical,Closed,2024-01-14,2024-01-16,22,24.7,Tech_15,Electrical,4070,2882,100,100.0,Generated on 2024-01-14 - CM-Electrical maintenance
WO-BA3B89F5,JOB-20240114-7555,CR103,Inspection-A,Inspection A for CR103,Low,Closed,2024-01-14,2024-02-02,6,6.4,Tech_27,Maintenance,1170,620,50,100.0,Generated on 2024-01-14 - Inspection-A maintenance
WO-080D08C9,JOB-20240114-2774,CR120,Seasonal-Maintenance,Seasonal Maintenance for CR120,High,Closed,2024-01-14,2024-01-18,26,24.0,Tech_29,Maintenance,3640,484,90,100.0,Generated on 2024-01-14 - Seasonal-Maintenance maintenance
WO-8076661B,JOB-20240115-7491,CR114,PM-Bogie,Scheduled bogie maintenance for CR114,High,Closed,2024-01-15,2024-01-20,13,13.9,Tech_2,Mechanical,1950,309,90,100.0,Generated on 2024-01-15 - PM-Bogie maintenance
WO-2F5BEC7B,JOB-20240115-5788,CR111,PM-Traction,PM Traction for CR111,Low,Cancelled,2024-01-15,2024-02-05,15,,Tech_26,Electrical,1335,727,50,0.0,Generated on 2024-01-15 - PM-Traction maintenance
WO-B8AAE33F,JOB-20240115-5009,CR113,PM-Brake,Brake system preventive maintenance - CR113,Low,Closed,2024-01-15,2024-02-07,5,5.3,Tech_19,Mechanical,785,913,50,100.0,Generated on 2024-01-15 - PM-Brake maintenance
WO-B0BA9AA7,JOB-20240115-6096,CR118,Seasonal-Maintenance,Seasonal Maintenance for CR118,Medium,Closed,2024-01-15,2024-01-23,20,19.2,Tech_11,Maintenance,2500,910,70,100.0,Generated on 2024-01-15 - Seasonal-Maintenance maintenance
WO-D50E0E47,JOB-20240115-6122,CR122,PM-Traction,PM Traction for CR122,Low,Closed,2024-01-15,2024-02-01,9,8.4,Tech_5,Electrical,1404,427,50,100.0,Generated on 2024-01-15 - PM-Traction maintenance
WO-9331E9B9,JOB-20240115-7266,CR119,PM-Traction,PM Traction for CR119,Low,Cancelled,2024-01-15,2024-02-01,9,,Tech_27,Electrical,1557,958,50,0.0,Generated on 2024-01-15 - PM-Traction maintenance
WO-D88C508F,JOB-20240116-6518,CR113,PM-Bogie,Scheduled bogie maintenance for CR113,Low,On_Hold,2024-01-16,2024-02-11,11,,Tech_30,Mechanical,1089,499,50,28.464165601763163,Generated on 2024-01-16 - PM-Bogie maintenance
WO-CBAA532F,JOB-20240116-9501,CR114,PM-Brake,Brake pad inspection and replacement - CR114,High,Closed,2024-01-16,2024-01-22,8,6.4,Tech_7,Mechanical,1432,670,90,100.0,Generated on 2024-01-16 - PM-Brake maintenance
WO-2309E481,JOB-20240116-6883,CR107,CM-Electrical,Power supply issue resolution - CR107,Medium,On_Hold,2024-01-16,2024-01-29,11,,Tech_15,Electrical,1650,4388,70,21.248231490822473,Generated on 2024-01-16 - CM-Electrical maintenance
WO-5FEA9F12,JOB-20240116-2689,CR110,PM-Brake,Brake pad inspection and replacement - CR110,Medium,Closed,2024-01-16,2024-02-06,5,5.5,Tech_16,Mechanical,860,422,70,100.0,Generated on 2024-01-16 - PM-Brake maintenance
WO-D785022D,JOB-20240116-6862,CR110,PM-HVAC,PM HVAC for CR110,Medium,On_Hold,2024-01-16,2024-01-24,10,,Tech_23,Electrical,1020,647,70,20.717129613135832,Generated on 2024-01-16 - PM-HVAC maintenance
