Train_ID,Date,Bogie_Usage_Pct,BrakePad_Usage_Pct,HVAC_Usage_Pct,Motor_Usage_Pct,Average_Usage_Pct,Critical_Components,Priority,Recommendation,Balancing_Score,Age_Factor,Maintenance_Due,Notes
CR101,2025-01-20,38.9,43.5,30.5,37.5,37.6,,Low,Continue_Operation,62.4,1.05,False,Week 0 snapshot - 0 critical components
CR101,2025-01-13,37.1,45.3,22.5,53.9,39.7,,Low,Continue_Operation,60.3,1.04,False,Week 1 snapshot - 0 critical components
CR101,2025-01-06,42.6,29.7,32.6,52.1,39.3,,Low,Continue_Operation,60.7,1.02,False,Week 2 snapshot - 0 critical components
CR101,2024-12-30,25.5,32.6,43.3,50.5,38.0,,Low,Continue_Operation,62.0,1.0,False,Week 3 snapshot - 0 critical components
CR101,2024-12-23,33.2,32.4,25.4,41.3,33.1,,Low,Continue_Operation,66.9,0.98,False,Week 4 snapshot - 0 critical components
CR101,2024-12-16,28.4,44.3,39.5,41.0,38.3,,Low,Continue_Operation,61.7,0.96,False,Week 5 snapshot - 0 critical components
CR101,2024-12-09,45.3,39.3,42.2,32.6,39.8,,Low,Continue_Operation,60.2,0.94,False,Week 6 snapshot - 0 critical components
CR101,2024-12-02,29.5,40.4,37.0,52.3,39.8,,Low,Continue_Operation,60.2,0.92,False,Week 7 snapshot - 0 critical components
CR101,2024-11-25,33.0,44.0,27.8,32.3,34.3,,Low,Continue_Operation,65.7,0.9,False,Week 8 snapshot - 0 critical components
CR101,2024-11-18,47.4,28.4,23.1,52.4,37.8,,Low,Continue_Operation,62.2,0.88,False,Week 9 snapshot - 0 critical components
CR101,2024-11-11,34.0,42.6,30.2,38.4,36.3,,Low,Continue_Operation,63.7,0.86,False,Week 10 snapshot - 0 critical components
CR101,2024-11-04,39.7,27.5,36.8,50.5,38.6,,Low,Continue_Operation,61.4,0.84,False,Week 11 snapshot - 0 critical components
CR101,2024-10-28,34.9,36.2,22.9,35.1,32.3,,Low,Continue_Operation,67.7,0.82,False,Week 12 snapshot - 0 critical components
CR101,2024-10-21,23.3,31.1,20.3,45.7,30.1,,Low,Continue_Operation,69.9,0.81,False,Week 13 snapshot - 0 critical components
CR101,2024-10-14,41.3,39.4,29.7,32.3,35.7,,Low,Continue_Operation,64.3,0.79,False,Week 14 snapshot - 0 critical components
CR101,2024-10-07,31.0,40.6,23.2,37.7,33.1,,Low,Continue_Operation,66.9,0.77,False,Week 15 snapshot - 0 critical components
CR101,2024-09-30,22.2,23.5,20.0,37.5,25.8,,Low,Continue_Operation,74.2,0.75,False,Week 16 snapshot - 0 critical components
CR101,2024-09-23,28.2,34.7,39.7,45.5,37.0,,Low,Continue_Operation,63.0,0.73,False,Week 17 snapshot - 0 critical components
CR101,2024-09-16,37.6,41.0,16.7,27.5,30.7,,Low,Continue_Operation,69.3,0.71,False,Week 18 snapshot - 0 critical components
CR101,2024-09-09,23.3,40.1,36.9,39.6,35.0,,Low,Continue_Operation,65.0,0.69,False,Week 19 snapshot - 0 critical components
CR101,2024-09-02,40.2,34.8,21.2,39.2,33.9,,Low,Continue_Operation,66.1,0.67,False,Week 20 snapshot - 0 critical components
CR101,2024-08-26,44.2,41.4,15.8,45.9,36.8,,Low,Continue_Operation,63.2,0.65,False,Week 21 snapshot - 0 critical components
CR101,2024-08-19,25.8,29.1,39.3,43.6,34.4,,Low,Continue_Operation,65.6,0.63,False,Week 22 snapshot - 0 critical components
CR101,2024-08-12,37.7,28.5,30.8,31.7,32.2,,Low,Continue_Operation,67.8,0.61,False,Week 23 snapshot - 0 critical components
CR101,2024-08-05,19.0,25.2,32.2,34.8,27.8,,Low,Continue_Operation,72.2,0.59,False,Week 24 snapshot - 0 critical components
CR101,2024-07-29,29.4,31.0,34.6,40.7,34.0,,Low,Continue_Operation,66.0,0.58,False,Week 25 snapshot - 0 critical components
CR101,2024-07-22,43.0,28.6,19.1,31.7,30.6,,Low,Continue_Operation,69.4,0.56,False,Week 26 snapshot - 0 critical components
CR101,2024-07-15,34.5,27.7,36.2,23.2,30.4,,Low,Continue_Operation,69.6,0.54,False,Week 27 snapshot - 0 critical components
CR101,2024-07-08,27.1,23.7,34.7,43.3,32.2,,Low,Continue_Operation,67.8,0.52,False,Week 28 snapshot - 0 critical components
CR101,2024-07-01,21.8,29.6,31.5,38.3,30.3,,Low,Continue_Operation,69.7,0.5,False,Week 29 snapshot - 0 critical components
CR101,2024-06-24,23.0,25.1,27.6,36.3,28.0,,Low,Continue_Operation,72.0,0.48,False,Week 30 snapshot - 0 critical components
CR101,2024-06-17,22.4,35.7,25.0,41.2,31.1,,Low,Continue_Operation,68.9,0.46,False,Week 31 snapshot - 0 critical components
CR101,2024-06-10,37.8,34.8,15.7,31.4,29.9,,Low,Continue_Operation,70.1,0.44,False,Week 32 snapshot - 0 critical components
CR101,2024-06-03,18.0,24.1,17.1,25.7,21.2,,Low,Continue_Operation,78.8,0.42,False,Week 33 snapshot - 0 critical components
CR101,2024-05-27,18.1,19.4,24.9,31.1,23.4,,Low,Continue_Operation,76.6,0.4,False,Week 34 snapshot - 0 critical components
CR101,2024-05-20,18.7,19.7,33.4,27.3,24.8,,Low,Continue_Operation,75.2,0.38,False,Week 35 snapshot - 0 critical components
CR101,2024-05-13,16.8,17.6,35.2,39.8,27.4,,Low,Continue_Operation,72.6,0.36,False,Week 36 snapshot - 0 critical components
CR101,2024-05-06,25.8,31.5,17.7,43.7,29.7,,Low,Continue_Operation,70.3,0.35,False,Week 37 snapshot - 0 critical components
CR101,2024-04-29,30.3,29.8,27.1,22.1,27.3,,Low,Continue_Operation,72.7,0.33,False,Week 38 snapshot - 0 critical components
CR101,2024-04-22,24.2,20.6,18.3,44.1,26.8,,Low,Continue_Operation,73.2,0.31,False,Week 39 snapshot - 0 critical components
CR101,2024-04-15,36.1,26.8,19.0,19.9,25.5,,Low,Continue_Operation,74.5,0.29,False,Week 40 snapshot - 0 critical components
CR101,2024-04-08,14.1,21.5,18.8,22.2,19.2,,Low,Continue_Operation,80.8,0.27,False,Week 41 snapshot - 0 critical components
CR101,2024-04-01,35.2,17.9,12.9,20.8,21.7,,Low,Continue_Operation,78.3,0.25,False,Week 42 snapshot - 0 critical components
CR101,2024-03-25,20.5,16.7,19.3,40.3,24.2,,Low,Continue_Operation,75.8,0.23,False,Week 43 snapshot - 0 critical components
CR101,2024-03-18,29.8,25.6,15.4,38.1,27.2,,Low,Continue_Operation,72.8,0.21,False,Week 44 snapshot - 0 critical components
CR101,2024-03-11,28.0,32.6,29.4,20.5,27.6,,Low,Continue_Operation,72.4,0.19,False,Week 45 snapshot - 0 critical components
